endTime,artistName,trackName,msPlayed
2022-03-28 07:55,Lonely God,Marlboro Nights,68522
2022-03-28 07:58,HUNNY,Televised,194716
2022-03-28 08:02,A Great Big World,Where Does the Time Go,228960
2022-03-28 08:05,Mina Okabe,I'm Done,189557
2022-03-28 08:09,Hazel English,Born Like,226456
2022-03-28 08:13,Glass Animals,Heat Waves,238805
2022-03-28 08:17,BETWEEN FRIENDS,affection,235225
2022-03-28 08:20,Hazel English,Shaking,213297
2022-03-28 08:23,Daisy the Great,Record Player (with AJR),149538
2022-03-28 15:40,Colony House,You Know It,182266
2022-03-28 15:43,The Wombats,Greek Tragedy - Oliver Nelson TikTok Remix,185433
2022-03-28 15:45,Sufjan Stevens,Futile Devices (Doveman Remix),135443
2022-03-28 15:49,Coast Modern,Puppy Llama,212444
2022-03-28 15:52,San Lucia,Space & Time,182880
2022-03-28 15:55,Beachwood Coyotes,Cuffing Season,199966
2022-03-28 15:59,Grouplove,Inside Out,208000
2022-03-28 16:02,Wallows,Are You Bored Yet? (feat. Clairo),178000
2022-03-28 16:53,Dayglow,Hot Rod,144475
2022-03-28 16:55,Aminé,REEL IT IN,121346
2022-03-28 16:58,Aminé,Caroline,209640
2022-03-28 17:33,Aminé,Charmander,57400
2022-03-28 17:53,Aminé,Charmander,74733
2022-03-28 17:56,Aminé,Spice Girl,173946
2022-03-28 20:05,Aminé,Heebiejeebies - Bonus,201747
2022-03-28 20:08,Aminé,Invincible,196386
2022-03-28 20:10,Aminé,Woodlawn,143152
2022-03-28 20:12,Aminé,NEO,123983
2022-03-28 20:15,Aminé,SHINE,150000
2022-03-28 20:16,Rejjie Snow,Egyptian Luvr,72787
2022-03-28 20:20,Cults,Bad Things,218560
2022-03-28 20:23,The Neighbourhood,Devil's Advocate,186306
2022-03-28 20:27,BETWEEN FRIENDS,affection,235225
2022-03-28 20:31,Dr. Dog,Where'd All the Time Go?,234800
2022-03-28 20:34,COIN,Crash My Car,188306
2022-03-28 20:37,alt-J,Left Hand Free,173630
2022-03-28 20:40,The Neighbourhood,Stargazing,217026
2022-03-28 21:00,Local Natives,Dark Days,180413
2022-03-28 23:08,Mt. Joy,Bug Eyes,303826
2022-03-28 23:11,Fitz and The Tantrums,Out of My League,209386
2022-03-28 23:15,MGMT,Electric Feel,229640
2022-03-28 23:18,Mac DeMarco,Another One,160991
2022-03-28 23:36,Arlie,didya think,200466
2022-03-28 23:38,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123
2022-03-28 23:40,The 1975,Milk,132546
2022-03-28 23:44,Grouplove,Tongue Tied,218013
2022-03-28 23:48,Gus Dapperton,"Prune, You Talk Funny",212701
2022-03-28 23:51,Rex Orange County,KEEP IT UP,183000
2022-03-28 23:54,Blossoms,There's A Reason Why (I Never Returned Your Calls),222488
2022-03-28 23:58,Saint Motel,Sweet Talk,192040
2022-03-29 00:01,CRUISR,All Over,182653
2022-03-29 00:04,Wallows,Are You Bored Yet? (feat. Clairo),178000
2022-03-29 00:27,Glass Animals,Life Itself,281406
2022-03-29 00:30,Dayglow,Run the World!!!,176250
2022-03-29 00:36,COIN,Malibu 1992,341200
2022-03-29 02:04,Local Natives,Coins,117606
2022-03-29 03:27,Foster The People,Pumped Up Kicks,2438
2022-03-29 03:27,Local Natives,Coins,8243
2022-03-29 03:29,Will Smith,Gettin' Jiggy Wit It,123646
2022-03-29 03:32,Neon Trees,Everybody Talks,177280
2022-03-29 03:36,Marc E. Bassy,You & Me,218493
2022-03-29 03:39,Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,218190
2022-03-29 03:41,Thundercat,Funny Thing,116630
2022-03-29 03:45,The Neighbourhood,Stargazing,217026
2022-03-29 03:47,Mac Miller,The Spins,6060
2022-03-29 03:47,Current Joys,New Flesh,96170
2022-03-29 03:50,Mac Miller,Blue World,209440
2022-03-29 03:52,Frank Ocean,In My Room,133680
2022-03-29 03:59,Kanye West,Runaway,375907
2022-03-29 04:02,Kanye West,Waves,181573
2022-03-29 04:05,Kanye West,Good Life,207000
2022-03-29 04:09,Wiz Khalifa,The Thrill,234333
2022-03-29 04:12,A$AP Rocky,Sundress,158205
2022-03-29 04:15,Mac Miller,Knock Knock,202806
2022-03-29 04:20,Mac Miller,Small Worlds,271733
2022-03-29 04:23,Vince Staples,Big Fish,198133
2022-03-29 04:28,BROCKHAMPTON,BLEACH,273151
2022-03-29 05:32,Kid Cudi,Rose Golden,121829
2022-03-29 16:06,Will Smith,Gettin' Jiggy Wit It,1194
2022-03-29 16:06,MGMT,Kids,2645
2022-03-29 16:09,Dominic Fike,3 Nights,177666
2022-03-29 16:12,Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,218190
2022-03-29 16:16,Jacob Tillberg,Broken,229921
2022-03-29 16:20,Amerie,1 Thing,238760
2022-03-29 16:23,Colony House,You Know It,182266
2022-03-29 16:28,Edward Sharpe & The Magnetic Zeros,Home,303200
2022-03-29 16:28,Drake,Best I Ever Had,14974
2022-03-29 16:45,KAYTRANADA,YOU'RE THE ONE,147456
2022-03-29 16:49,Of Monsters and Men,Little Talks,266600
2022-03-29 16:52,Coconut Records,Nighttiming,168492
2022-03-29 17:08,Fleet Foxes,Montezuma,216604
2022-03-29 17:10,Noah And The Whale,2 Atoms In A Molecule,124626
2022-03-29 17:15,Sjowgren,Seventeen,225666
2022-03-29 17:20,Peter Bjorn and John,Young Folks,276693
2022-03-29 17:22,alt-J,Left Hand Free,173630
2022-03-29 17:26,Mt. Joy,Strangers,193186
2022-03-29 17:28,The Lumineers,Ophelia,160097
2022-03-29 17:32,Grouplove,Tongue Tied,218013
2022-03-29 17:36,The Shins,Australia,236711
2022-03-29 17:40,alt-J,Breezeblocks,227080
2022-03-29 17:43,Dirty Heads,Stand Tall,191280
